,created_at,text,screen_name,location
42,14-09-2021 16:30,b'#COVID19 inspires me when patients says about precautions need to be taken though they avoid   wearing a mask talk\xe2\x80\xa6 https://t.co/UDaa6hZ7qQ',b'DrAashirya',"b'Hyderabad, India'"
43,14-09-2021 15:46,"b'""Do not neglect your mask""\n\n#COVID19 #VaccinesWork #Fauci #MasksSaveLives https://t.co/ig1XIIDrti'",b'ubervaper',b'Indian Territory'
44,14-09-2021 13:23,"b'Study shows, washing and drying reusable masks doesn\xe2\x80\x99t make them useless.\n \n#Facemask #resuablemask #Clothmask\xe2\x80\xa6 https://t.co/unsDJ61Pfh'",b'Ihw_tv',b'India'
45,14-09-2021 12:31,"b'SMART ASSIST performs mask wearing monitoring, complete body temperature scanning, data recording with facial image\xe2\x80\xa6 https://t.co/mISLEulTmd'",b'themachinemaker',"b'Pune, India'"
46,14-09-2021 12:22,b'Have you experienced this? \xf0\x9f\x98\x84\n\n#COVID19 #3rdWave #ThirdWaveOfCorona #Mask #FaceMask #GalattaMemes https://t.co/5IJgtAguZU',b'galattadotcom',"b'Chennai, India'"
47,14-09-2021 12:01,"b'As educational spaces have started opening up for the students, it is essential to follow #Covid19 safety protocols\xe2\x80\xa6 https://t.co/IQiCDhAL8f'",b'bharatcaresorg',b'India'
48,14-09-2021 11:17,b'All #COVID19 advisory were on #Tickets only . \nNo one was on @amritsarairport to check any #RTPCR or #Vaccine\xe2\x80\xa6 https://t.co/lLRkS71OyT',b'Shubhamtomaradi',b'India'
49,14-09-2021 08:29,"b""@JPNadda @narendramodi Everyone must used face mask \xf0\x9f\x98\xb7 bcz #COVID19 not gone yet.\n\nLet's stand together for #IndiaFightsCorona .""",b'vaibhavkaushiki',"b'New Delhi, India'"
50,14-09-2021 08:22,b'@Chetanguruu against COVID19 as suggested by the Government of India. In the interest of all our customers and empl\xe2\x80\xa6 https://t.co/JJecj7lXZs',b'POCOSupport',b'India'
51,14-09-2021 07:45,b'I wish someone would provide answers for the following questions.\nRisk of getting #COVID19 from casual contact with\xe2\x80\xa6 https://t.co/D4I3hw3SCb',b'malpani',"b'Mumbai, India'"
52,14-09-2021 06:53,"b""Community mask wearing can reduce #COVID19 from spreading - that's what a first-of-its-kind large RCT found in Bang\xe2\x80\xa6 https://t.co/svjGLb5m2l""",b'JPAL_SA',b'India'
53,14-09-2021 06:48,b'Great work @odisha_police. After 2 year of #Pandemic do we still need to aware Ppl regarding #COVID19 consequences.\xe2\x80\xa6 https://t.co/GJLHPlI6bX',b'PraksMardaraj',b'India'
54,14-09-2021 05:25,"b'@pragyavats \nBut first, wear a mask!\n\nIn most of our distribution drives, the people who come to collect the ration\xe2\x80\xa6 https://t.co/1sI2EasA4h'",b'ncfdeepak',"b'Dhanbad, India'"
55,14-09-2021 05:21,"b'@RiseIndia2030 But first, wear a mask!\n\nIn most of our distribution drives, the people who come to collect the rati\xe2\x80\xa6 https://t.co/fPFrcDbUtJ'",b'ncfdeepak',"b'Dhanbad, India'"
56,14-09-2021 05:19,"b'But first, wear a mask!\n\nIn most of our distribution drives, the people who come to collect the ration kits do not\xe2\x80\xa6 https://t.co/v5ODZv8stF'",b'ncfdeepak',"b'Dhanbad, India'"
57,14-09-2021 00:37,b'@AnkushPopli1 @PunctureWalaAb1 @Premila96320591 @saamTVnews @mybmc @KishoriPednekar @SSawantML @Marathi_Rash\xe2\x80\xa6 https://t.co/UhOwxkIeNJ',b'Nitesh_Chauhan7',"b'Mumbai, India'"
58,13-09-2021 15:02,b'Congratulations INDIA !!\nIndia has crossed the 75 crore vaccines administration mark !\nBut question is here that is\xe2\x80\xa6 https://t.co/01NcOLWNNU',b'shivarchitm',"b'Varanasi, India'"
59,13-09-2021 05:52,b'People now be like No Mask Needed \xe2\x80\xa6\xf0\x9f\x99\x88 Jogeshwari Registration Office \n.\n.\n#COVID19 #COVID19India \n@mybmc\xe2\x80\xa6 https://t.co/GEHMuhBGIk',b'RichaRanawat29',"b'Mumbai, India'"
60,13-09-2021 05:11,b'Stay safe!\nWear a mask. Avoid crowds. Choose outdoor spaces. Stay at least 6 feet apart from people who don\xe2\x80\x99t live\xe2\x80\xa6 https://t.co/ICwiRLlLpJ',b'kd_medical',"b'Mathura, India'"
61,12-09-2021 22:08,"b""I've worn a mask more than a bra this year \xf0\x9f\x98\xa4\n\n#COVID19""",b'AdeeAslamAhmed',"b'New Delhi, India'"
62,12-09-2021 17:02,b'BYCYCLE CITY \xf0\x9f\x9a\xb2\n#Ahmedabad #photooftheday #photographer #sundayvibes #SUNGHOON #Lucknow #SUNGCHAN #dslr #city #night\xe2\x80\xa6 https://t.co/y4sYqxHEp0',b'iamtalkerboy',"b'Cherthala, India'"
63,12-09-2021 16:32,b'@Tejasvi_Surya @MahindraRise @anandmahindra Tejaswi anna becoming photogenic and not wearing mask on most occasions\xe2\x80\xa6 https://t.co/speZ8PJvqM',b'skumara003d',"b'Karnataka, India'"
64,12-09-2021 09:25,"b""Finally got my first jab of Covid vaccine today. Let's hope if enough of us get vaccinated this helps stop the spre\xe2\x80\xa6 https://t.co/uzzE1lSYxA""",b'ImNM45',b'India'
65,12-09-2021 08:52,b'Taliban terrorist are like covid19 \n1. Mask/burkha compulsary\n2. Home isolation\n3. it spread when you come in contact\n4. it kills',b'VasurajBHATT',b'India'
66,12-09-2021 08:37,"b'We all have dream for ourselves, but do you have dream for others?\nYes, RAINBOW has. \xf0\x9f\x8c\x88\xe2\x80\xa6 https://t.co/DyndUnfz5a'",b'Rainbow_NGO',"b'West Bengal, India'"
67,12-09-2021 06:58,"b'This footage is from vaccine centre, Civil Hospital #Abohar. It clearly shows mismanagement by hospital staff. No l\xe2\x80\xa6 https://t.co/BJZxhwi2Sm'",b'Jattinbulandi',b'India'
68,12-09-2021 06:39,b'Masks are imperative in our fight against COVID-19.\xc2\xa0Wear a mask while stepping out of your house. \n\nWR requests eve\xe2\x80\xa6 https://t.co/dErXytEKcT',b'WesternRly',"b'Mumbai, India'"
69,12-09-2021 02:10,b'Which she was entitled to - as long as she wore a mask.\nThe younger woman is her election manager Alisa Keane. She\xe2\x80\xa6 https://t.co/I4nxJlaWji',b'imacuriosguy',"b'Vadodara , India'"
70,11-09-2021 18:52,b'Too good . . . . \xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\n\nApart from the jokes . . . . \n\nKeep sanitized and always use mask with the social distance to\xe2\x80\xa6 https://t.co/lujiJobbqO',b'Biplab_Das_IND',"b'Kolkata, India'"
71,11-09-2021 14:33,b'Do you wear a mask while exercising? #Covid19 #Mythbuster\n\nhttps://t.co/vAEYa8lstn\xe2\x80\xa6 https://t.co/skgjEAKt65',b'johnson_paints',"b'Patna, Bihar, India'"
72,11-09-2021 10:30,b'That mask that you are wearing to protect yourself from Covid-19 may not be saving you from oral hygiene woes after\xe2\x80\xa6 https://t.co/Vi46pcTlV0',b'hthealthshots',"b'New Delhi, India'"
73,11-09-2021 10:18,b'@SagaleDhananjay COVID19 as suggested by the Government of India. In the interest of all our customers and employee\xe2\x80\xa6 https://t.co/00ztK8x9iC',b'RedmiSupportIN',b'India'
74,11-09-2021 09:16,b'The \xe2\x80\x98New Normal\xe2\x80\x99; Are Face Masks Fast Becoming The New Age Fashion Accessory?\n\n#Mask #FaceMask #COVID19\xe2\x80\xa6 https://t.co/oeSrvkYzWI',b'NewsMobileIndia',b'India'
75,11-09-2021 09:00,b'Keep Calm and Wear #Mask always.\nProtect yourself from #Covid19\n#BeekayTurboTMT #SolidBharosa #WeCare #MaxSafety https://t.co/slwq3zISbw',b'BeekaySteel',"b'Kolkata, India'"
76,11-09-2021 04:45,"b'Australia recorded new highs for infections in the current outbreak, while Florida posted a record number of\xe2\x80\xa6 https://t.co/OjnBjF4ymw'",b'BloombergQuint',"b'Mumbai, India'"
77,11-09-2021 04:15,"b'Dear Citizens, are you staying safe? Are you taking all the necessary precautions to help slow the spread of the vi\xe2\x80\xa6 https://t.co/2MoezaZqZ0'",b'DoITCRaj',"b'Jaipur, India'"
78,11-09-2021 02:46,b'#SocialDistancing \nis not easy \xf0\x9f\x98\x80\n\n#Corona #COVID19 #mask https://t.co/KjFhieyp8M',b'Prakashukla',"b'Mahindra Group, India'"
79,11-09-2021 01:34,"b'WEARING MASKS MATTER, FOR BETTER CONTROL OF COVID\n\nA very large RCT in #Bangladesh shows that increasing #mask wear\xe2\x80\xa6 https://t.co/J41savlwG1'",b'rameshkotnana1',"b'Hyderabad, India'"
80,10-09-2021 21:24,b'Provided 10 #OxygenConcentrater &amp; 1000 #N95 #Mask for #COVID19 3rd Wave preparedness to district administration\xe2\x80\xa6 https://t.co/MGe02uNanF',b'RAWSindia',"b'Bhopal, India'"
81,15-09-2021 19:20,"b""Just because the @FWCommSchools board hasn't directly voted on masks doesn't mean they haven't voted on masks and o\xe2\x80\xa6 https://t.co/1PKmPvEZFM""",b'JGfortwayne',"b'Fort Wayne, Indiana'"
82,15-09-2021 18:51,"b'What happened to our ""we follow the science"" @GovHolcomb as #Indiana continues moving backwards with response to\xe2\x80\xa6 https://t.co/ZH9jwbQZBJ'",b'dlneidert',b'Anderson Indiana'
83,19-09-2021 10:58,"b'Dear shoppers , fitting rooms are meant for clothes\xe2\x80\x99 trials not mask trials! It is horrifying to see store assistan\xe2\x80\xa6 https://t.co/z0cT8GHYBX'",b'DevinaET',"b'Mumbai,India'"
84,18-09-2021 11:33,b'Wearing a mask - true symbol of social responsibility.\n@UN @UNICEFIndia @WHO @talenthouse @Talenthouse_IND\xe2\x80\xa6 https://t.co/OEMBgjqPEI',b'Mayapurigraphic',"b'Chennai, Tamil Nadu. India'"
85,19-09-2021 13:52,"b""@drmssm Regarding #Mask I'll disagree with you Sir, except in too much of crowd.\n#Mask creates more trouble in brea\xe2\x80\xa6 https://t.co/kwg8tJRuqQ""",b'shankaravijayam',b'Bharat i.e India'
86,19-09-2021 09:50,b'Side effect of mountains travel for so long is I got panic after seeing so many people around me. \n\nAnd people beha\xe2\x80\xa6 https://t.co/4oAw8ggOl2',b'WithManish0',b'India'
87,19-09-2021 09:14,b'@CMOMaharashtra @mybmc\n@MCGM_BMC @maha_governor @mybmcHealthDept @OfficeofUT @CPMumbaiPolice @DGPMaharashtra\xe2\x80\xa6 https://t.co/Uc3VimFxEb',b'gyandeepsonis',"b'Mumbai, India'"
88,19-09-2021 07:41,b'Get ready to tame those badass tresses with\xc2\xa0moisturization &amp; nourishment.\n\n#haircare #hairgrowth #hairmask\xe2\x80\xa6 https://t.co/GfEdJL26kv',b'Zobhalifeindia',"b'New Delhi, India'"
89,19-09-2021 01:58,"b""Good morning friends! Don't forget to wear a #mask whenever you are in a crowded public place. Have a great Sunday.\xe2\x80\xa6 https://t.co/kNdV52cBok""",b'spl_ind',"b'Howrah, India'"
90,18-09-2021 21:10,"b'@GovernorKayIvey ""For the first time in Alabama\xe2\x80\x99s known #history, the state had more deaths than births in 2020 \xe2\x80\x94 a\xe2\x80\xa6 https://t.co/q8cTeFxM9e'",b'cheryl_fahling',b'Northeast Indiana'
91,18-09-2021 13:24,b'If you have any health issues consult online from Wherever\nVisit:https://t.co/W7FwntDd9j\n#share #india #mask #health https://t.co/2EfDBYzaNz',b'racdoc2',b'India'
92,18-09-2021 13:11,b'Why limit yourself? When you count on your abilities. \nTake your Business online with #BMDU and Feel proud to be a\xe2\x80\xa6 https://t.co/dRqpTzBSks',b'DigitalUtiliza1',"b'Noida, India'"
93,18-09-2021 11:14,"b""Any death percentage from a preventable disease is unacceptable, Weather it's near nothing.\n\nIt's not an excuse for\xe2\x80\xa6 https://t.co/v9gHmo6KXG""",b'o2procare',"b'New Delhi, India'"
94,18-09-2021 07:30,"b'#Mumbai: Nearly 10,000-12,000 People Were Fined Over The Weekend For Flouting #Mask Rule https://t.co/qSm7p7wXtJ'",b'MumbaiLiveNews',"b'Mumbai, India'"
95,18-09-2021 04:47,b'Thank you Ipsha Pathak g (Prop- aavran) for giving us this opportunity. Aap yunhi aage badhte rahiya.\nCotton mask\xe2\x80\xa6 https://t.co/1i4UQFgEFZ',b'mithilakritihub',b'India'
96,17-09-2021 17:32,b'Our latest research is here @DocAnil1\n\nhttps://t.co/5gPn2SzUST\n#dermatology #mask #tinea #maskne #fungus https://t.co/NYVk9Ji564',b'amanzadermat',b'Perinthalmanna & Wandoor.India'
97,17-09-2021 17:11,"b""About time we attempt to bring in something that doesn't need an upgrade. Something we truly believe is perfect.\xe2\x80\xa6 https://t.co/whtKdBAaSL""",b'ganeshunwired',"b'Pune, India'"
98,17-09-2021 15:43,b'@mumbaimatterz @mumbaitrafficop no helmet n no #mask in #Mumbai @mybmc @MumbaiPolice @SaamanaOnline https://t.co/3uJwfJEAvi',b'Misha35117194',"b'Mumbai, India'"
99,17-09-2021 14:12,"b""Who said 'Safe' cannot be 'Stylish'?\nMallcom's latest Designer Surgical Masks are BIS certified with 3 layers for m\xe2\x80\xa6 https://t.co/Fn0N0Mr7XA""",b'Mallcom_India',"b'Kolkata, West Bengal, India.'"
100,17-09-2021 14:08,b'Be Safe and Wear #Mask \xf0\x9f\x98\xb7\xf0\x9f\x99\x8f\n\n@TiruvallurCollr #TiruvallurCollector \n#coronaawareness #CoronaAwarenessCampaign\xe2\x80\xa6 https://t.co/yvbSgv3SHe',b'MemesPettai',"b'Tamil Nadu, India'"
101,17-09-2021 13:30,"b'As India continues the largest #vaccine drive in the world, let us remain vigilant and continue to wear our masks a\xe2\x80\xa6 https://t.co/EAAiUIuvK1'",b'TheMaskLabIndia',"b'Mumbai, India.'"
102,17-09-2021 13:11,b'Online Doctor Consultation from Wherever\nVisit:https://t.co/W7FwntDd9j\n#share #india #mask #health https://t.co/5g6hEPLsW1',b'racdoc2',b'India'
103,17-09-2021 12:43,b'Calling you in the morning to remind you of glowing and healthy skin\xe2\x9d\xa4\xef\xb8\x8f\nWho\xe2\x80\x99s gonna pick the call?\n\nShop Now:\xe2\x80\xa6 https://t.co/uOgTvN3M6u',b'seersecrets',"b'New Delhi, India'"
104,17-09-2021 12:27,b'Buy Personal Care Products starting from Rs.149\n\nhttps://t.co/wgjF9T8rrl\n\n#indiaonlineshopping\xe2\x80\xa6 https://t.co/WgVL2mQXXr',b'meenatri',"b'Mysore, India'"
105,17-09-2021 10:08,b'@PrajRBhat @albyjohnV They r asking everyone to use #mask as they r not capable to clean garbage.',b'AggaAlka',"b'New Delhi, India'"
106,17-09-2021 05:56,"b'Mallcom is glad to introduce its new range of Designer Surgical Masks in a variety of colours and design, made with\xe2\x80\xa6 https://t.co/gwGoRXgNHd'",b'Mallcom_India',"b'Kolkata, West Bengal, India.'"
107,17-09-2021 04:00,"b'These days #mask removal feels like a scene from some sort of secret identity superhero film. Here is me, the 2021\xe2\x80\xa6 https://t.co/jkFUjfHXYf'",b'lifestyle_ie',"b'Noida, India'"
108,17-09-2021 02:48,b'https://t.co/Wyo08YsNJH\n\n#SHAME-LESS - #JAMSHEDPUR - #POLICE - #HELMET + #MASK + #E-PASS - #SCAM\n\nSHAMELESS - JAMSH\xe2\x80\xa6 https://t.co/GLpoHThyKv',b'evewin89',b'JAMSHEDPUR (TATA) (INDIA)'
109,16-09-2021 12:49,"b'""With the reopening of schools, children are at high risk of contacting virus. In such risky circumstances, it beco\xe2\x80\xa6 https://t.co/32otUOyK19'",b'smilefoundation',b'India'
110,16-09-2021 12:29,b'Online Doctor Consultation from Wherever\nVisit:https://t.co/W7FwntDd9j\n#share #india #mask #health https://t.co/4OqgSRrFRe',b'racdoc2',b'India'
111,16-09-2021 12:13,b'Get upto 20% off on Household Essentials\n\nhttps://t.co/l2Bf0wpebU\n\n#indiaonlineshopping #personalcareproducts\xe2\x80\xa6 https://t.co/o5tQNBLKuf',b'meenatri',"b'Mysore, India'"
112,16-09-2021 05:53,b'Please put it on the market soon! #coronavirus #mask https://t.co/OHBf2se7kA',b'NandiniCSen',b'India'
113,15-09-2021 14:58,"b'At the time when 3rd Wave is about to hit us, people are slowly stopped using #mask in Public Places. I think\xe2\x80\xa6 https://t.co/TVVbxkIlMO'",b'Aman_SharmaJii',b'India'
114,15-09-2021 12:48,b'Online Doctor Consultation from Wherever\nVisit:https://t.co/W7FwntDd9j\n#share #india #mask #health https://t.co/Wfak95BTJe',b'racdoc2',b'India'
115,15-09-2021 11:26,"b""Captain America is loved by kids, and they want to be just like him, but where is his mask? Get Captain America's m\xe2\x80\xa6 https://t.co/7heQzYgSpB""",b'BookMyCostume',b'India'
116,15-09-2021 11:03,b'#zukz2plus\nIso - 129  Shutter Speed - 1/50\n\n#orange #male #person #boy #meghalaya #photography #nature\xe2\x80\xa6 https://t.co/SB0GqQJuq0',b'afugong',"b'Pynursla, India'"
117,15-09-2021 10:21,b'The research was done by Case Western Reserve University and Brown University \n\n#covidvaccine #vaccination #mask\xe2\x80\xa6 https://t.co/2gMJvcOy2H',b'Shipra_Travels',"b'Panchkula, Haryana, India'"
118,15-09-2021 10:01,b'Halloween Masks -Set of Two Abstract mo\xe2\x80\xa6 by @Arty_shen via @artfinder \n\n#art #monoprint #unique #Halloween #mask\xe2\x80\xa6 https://t.co/E3ZlDbxplx',b'Arty_shen',b'\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 India.'
119,15-09-2021 02:56,b'@macbandra @deepakshenoy But now I think they had made it mandatory to wear #mask',b'TheRohitPuri',"b'Delhi, India'"
120,14-09-2021 13:34,"b'THE MASKED MINDS\n\nShinie Antony (Project Delegate for the #mask series) in conversation with Priya Rajaram, Souvik\xe2\x80\xa6 https://t.co/jhi1a4EBDl'",b'_TMYS_',"b'Mumbai, India'"
121,14-09-2021 13:01,b'Online Doctor Consultation from Wherever\nVisit:https://t.co/W7FwntDd9j\n#share #india #mask #health https://t.co/XBZukEjODI',b'racdoc2',b'India'
122,14-09-2021 09:33,b'#adityaroykapur spotted wearing our FFP2 Willow #Mask! \n\nOur Japanese Willow Mask is ultra-breathable and also styl\xe2\x80\xa6 https://t.co/Vorf2MMiUt',b'TheMaskLabIndia',"b'Mumbai, India.'"
123,14-09-2021 09:00,b'Find your Perfect Face mask\n#Facemask #Mask #skin #Skincare #Healthyskin https://t.co/lbSC56yEDD',b'NariKesari',"b'Jalandhar, India'"
124,14-09-2021 07:19,b'On Request!! \n\nMany were asking about \n#Kar #Mina #Dot #Mask Rebuying .\n\nSome missed old Rally so posted Newone .\xe2\x80\xa6 https://t.co/9TMP5XCIdc',b'Ruch_9',"b'CrYpto W@rld, India\xf0\x9f\x87\xae\xf0\x9f\x87\xb3'"
