,text,polarity,sentiment
97,time attempt bring something doesn t need upgrade something truly believe perfect,1.0,positive
98,helmet n mask mumbai,0.0,neutral
99,said safe stylish nmallcom s latest designer surgical masks bis certified layers m,0.5,positive
100,safe wear mask f f f n n tiruvallurcollector n coronaawareness coronaawarenesscampaign,0.5,positive
101,india continues largest vaccine drive world let us remain vigilant continue wear masks,0.0,neutral
102,online doctor consultation wherever nvisit india mask health,0.0,neutral
103,calling morning remind glowing healthy skin d f f nwho s gonna pick call n nshop now,0.5,positive
104,buy personal care products starting rs n,0.0,neutral
105,asking everyone use mask capable clean garbage,0.2833333333333333,positive
106,mallcom glad introduce new range designer surgical masks variety colours design made,0.3181818181818182,positive
107,days mask removal feels scene sort secret identity superhero film,-0.4,negative
108,jamshedpur police helmet mask e pass scam n nshameless jamsh,0.0,neutral
109,reopening schools children high risk contacting virus risky circumstances beco,0.16,positive
110,online doctor consultation wherever nvisit india mask health,0.0,neutral
111,upto household essentials n personalcareproducts,0.0,neutral
112,please put market soon coronavirus mask,0.0,neutral
113,time rd wave hit us people slowly stopped using mask public places think,-0.15000000000000002,negative
114,online doctor consultation wherever nvisit india mask health,0.0,neutral
115,captain america loved kids want mask captain america s m,0.7,positive
116,zukz plus niso shutter speed n n orange male person boy meghalaya photography nature,0.0,neutral
117,research done case western reserve university brown university n n covidvaccine vaccination mask,0.0,neutral
118,halloween masks set two abstract mo shen via n n art monoprint unique halloween mask,0.375,positive
119,now think made mandatory wear mask,0.0,neutral
120,masked minds n nshinie antony project delegate mask series conversation priya rajaram souvik,0.0,neutral
121,online doctor consultation wherever nvisit india mask health,0.0,neutral
122,adityaroykapur spotted wearing ffp willow mask n nour japanese willow mask ultra breathable styl,0.0,neutral
123,find perfect face mask n facemask mask skin skincare healthyskin,1.0,positive
124,request n nmany asking n kar mina dot mask rebuying n nsome missed old rally posted newone,0.1,positive
125,notably mask finds mention twice n n wear mask n n neglect mask n n flupandemic influenza,0.5,positive
126,strike cleanupmashall dadagiri clicking pics n nis hv right t,0.2857142857142857,positive
127,online doctor consultation wherever nvisit india mask health,0.0,neutral
128,e e e d c e f via whenever open school students,0.0,neutral
129,post pandemic world mask become important accessory cum necessity safety festive,0.4,positive
130,watching theater wearing mask muflar,0.0,neutral
131,getting covid post vaccination fun second time pre vaccination now post body,0.15,positive
132,mask nwithin hour pump d n n fa nthis long term holding pf n nyour take nif u don t patience,-0.05,negative
133,yesterday researched mask n nwil find new one will post channel f c f c f c f,0.13636363636363635,positive
134,gentle reminder n nyesterday posted mask nread carefully n nstay tuned new coin,0.07878787878787878,positive
135,mask done n nposted,0.0,neutral
136,th mask n norder filled pump n ndeal n new coin posted n n kar x n mask n nrest buying done,0.2681818181818182,positive
137,online doctor consultation wherever nvisit india mask health,0.0,neutral
138,masks take f n n newyork black mask travel night,-0.16666666666666666,negative
139,wonderful conversation nkiara welde cc nramya srinivasan n authors,1.0,positive
140,crypto book flip mask rest hodl kar,0.0,neutral
141,,0.0,neutral
142,urvashi rautela leaves fans mesmerized rs crore worth diamond studded mask n diamond mask,0.3,positive
143,weekend styling something creative amp different mundane weekdays n weekend styling stylingtips menswear,0.11111111111111112,positive
144,posted mask o n nchoose anyone,0.0,neutral
145,will need soon spook people month ahead nlimited quantities available n n n n n n n mask covid,0.4,positive
146,anyone seen beautiful mask f c,0.85,positive
147,online doctor consultation wherever nvisit india mask health,0.0,neutral
148,clover finance clv n lithium finance lith n beyond finance byn n n casper network n paid network n aioz network,0.0,neutral
149,mask usdt nonly long term f e f nsitting ma support n nif u want buy n,-0.05,negative
150,organic cotton natural dye masks n ndyed natural f c f herbs n nhandmade women n ndm product related query,0.06666666666666667,positive
151,use aromatic coffee brew refreshed skin n scru ground coffee coconut oil sugar n mask cof,0.0,neutral
152,happy words sister loved one engagement function n engagement familyfunction familytime,0.75,positive
153,called social distancing funny n socialdistancing n coronasituation n corona n mask n staysafe,0.14166666666666666,positive
154,without mask collect fine share receipt nbcos common m,0.05833333333333335,positive
155,covid vaccination centres goalpara district n wearamask n assam,0.0,neutral
156,rajasthan coronaupdate n n covid cases reported nout jaipur ntoday s recovered c n case d,0.0,neutral
157,waiting csk cskvmi whistlepodu wearamask,0.0,neutral
158,happy sunday n veerandrasingh hollywood investors producers actors director models fitness actingheadshot,0.8,positive
159,suprabhatam n stayhome staysafe stayisolated wearamask n nmy prayers everyone s safety nwe will overcome,0.0,neutral
160,india india yes,0.0,neutral
161,cyour imagination preview life s coming attractions d albert einstein n n wearamask f n getvaccinated f,0.0,neutral
162,pune new covid cases deaths wearamask getvaccinated,0.13636363636363635,positive
163,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
164,eos given necessary directions complaints disposed spot,0.0,neutral
165,rajasthan coronaupdate n n covid cases reported nout jaipur ntoday s recovered c n cases,0.0,neutral
166,love loved ones wear mask public wear office love colleagues wearamask yearsofeeztail,0.425,positive
167,always proud associated thoughts writings sharp goan intellectuals prof bened,0.3375,positive
168,good news mumbai nantibody vity n partially fully vaccinated nunvaccinated nhuge e osure,0.3,positive
169,cif want live happy life tie goal people things d n n wearamask f n getvaccinated f,0.4681818181818182,positive
170,pune reports new covid cases deaths due infection wearamask getvaccinated,0.005681818181818177,positive
171,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
172,let us take fight covid defeat practically n guwahati assam,0.0,neutral
173,stay safe wear mask vaccinated n vaccinessavelives vaccinated wearamask maskup whisperingyarns,0.5,positive
174,got nd ja done ve come far t go backward lockdowns let s finish,0.1,positive
175,early morning hosp starting opd today nearly month thank good wishes hav,0.22499999999999998,positive
176,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
177,kesoramrayon wishes happy vishwakarma puja vishwakarmapuja kesophane wearamask staysafe fresh,0.55,positive
178,kesoramrayon wishes happy vishwakarma puja vishwakarmapuja kesophane wearamask staysafe fresh,0.55,positive
179,way treat standard set others n n wearamask f n getvaccinated f n staysafe,0.0,neutral
180,wear mask even vaccinated f n wearamask,0.0,neutral
181,world s largest vaccination drive going good pace fellow indians getvaccinated haven t alread,0.7,positive
182,southwest,0.0,neutral
183,healthy clean f n covid indiafightscovid together staysafe socialdistancing handwashing wearamask,0.43333333333333335,positive
184,indusind bk w lt nabv wc amp nr sl t n nuse positionsize riskmanagement n nchart education,0.0,neutral
185,cit heart one see rightly essential invisible eye d n little princ,-0.09375,negative
186,suprabhatam n stayhome staysafe stayisolated wearamask n nmy prayers everyone s safety nwe will overcome,0.0,neutral
187,f kindly wearamask n safekovai,0.6,positive
188,f informed today won t vaccination camps general public kovai n wearamask,0.02500000000000001,positive
189,cif don t design life plan chances ll fall someone s plan guess,0.0,neutral
190,year old knows important wear mask going,0.25,positive
191,flash jammu kashmir wednesday witnessed one death fresh positive cases taking number total ac,0.17575757575757575,positive
192,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
193,reminder still need wear masks n n wearamask besafeoutthere,0.0,neutral
194,mask f social distance f f safetravels n n emojigames wearamask,0.03333333333333333,positive
195,unite fightcorona largestvaccinedrive follow covid appropriate behaviour ca along getting fully,0.5,positive
196,ceven re right track ll run sit d n n wearamask f n getvaccinated f,0.2857142857142857,positive
197,great news wearamask,0.8,positive
198,pune reports new covid cases deaths wearamask getvaccinated,0.13636363636363635,positive
199,covid vaccination centres goalpara district n wearamask n assam,0.0,neutral
200,depending mask worn mask maintained one easily tell much shits pers,0.31666666666666665,positive
201,easily observe conclude much shits people give covid way wear mask s,0.31666666666666665,positive
202,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
203,covid vaccination drive organized vle kiran kumar giridih district jharkhand csc covid ca,0.0,neutral
204,government employees bus drivers conductors station masters amp ticket checking teams wear masks de,0.0,neutral
205,winter coming n n veerandrasingh hollywood investors producers actors director models fitness,0.0,neutral
206,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
207,vaccination shot asap prevent hospital admissions take every precaution stepping home,0.0,neutral
208,rapid progress india s vaccinationdrive n million crore jabs days nhuge credit,0.0,neutral
209,one day will wake won t time things ve always wanted now,0.0,neutral
210,covid vaccination centres goalpara district n wearamask n assam,0.0,neutral
211,remember w s nw wash hands nw wear mask nw watch distance nfollow covid appropriate behaviour,0.5,positive
212,pune reports new covid cases deaths wearamask,0.13636363636363635,positive
213,pune district vaccination status nfirst shot nfully vaccinated n nlot citizens now eligible nd shot,0.0,neutral
214,nice week n veerandrasingh hollywood investors producers actors director models fitness,0.6,positive
215,suprabhatam n stayhome staysafe stayisolated wearamask n nmy prayers everyone s safety nwe will overcome,0.0,neutral
216,cyou decide time goes either spend moving forward spend putting fires,0.0,neutral
217,covid vaccination centres goalpara n wearamask n assam police,0.0,neutral
218,pune reports new covid cases deaths district wearamask getvaccinated,0.13636363636363635,positive
219,aai coimbatore international airport n n n update arrival departure flight schedule,0.0,neutral
220,fight wearing masks till pandemic ends n n n n wearamask,0.0,neutral
221,plz comply guidelines wearamask washyourhands maintain distance amp avoid gatherings n nteam,0.0,neutral
222,rajasthan coronaupdate n n covid cases reported nno case jaipur n cases districts nno corona related,0.0,neutral
223,happy sunday n veerandrasingh hollywood investors producers actors director models fitness actingheadshot,0.8,positive
224,wrong side don t pay fine nkeep simple,-0.027777777777777773,negative
225,ceven re right track ll run sit d n will rogers n n wearamask f,0.2857142857142857,positive
226,covid update cuttack city cmc area n n new covid ve cases reported today cuttack city n na,0.13636363636363635,positive
227,covid another version edible vaccine sheeples food air water genocida,0.0,neutral
228,one thing sure none political parties whether power opposition gives damn covid,0.25,positive
229,pincode ncova n dose slots n nage ndate sep nfees nm s ramaiah medical colle,0.0,neutral
230,pincode ncova n dose slots n nage ndate sep nfees nm s ramaiah medical colle,0.0,neutral
231,covid edible vaccines continuous use without peoples knowledge consent now,0.0,neutral
232,covid update cuttack district nnew ve cases reported ncmc nrural amp ulbs nother,0.0,neutral
233,sep maharashtra covid update n nactive cases f d n nconfirmed f nrecovered f c,0.0,neutral
234,pincode ncovishield dose slots n nage ndate sep nfees nramaiah memorial hospit,0.0,neutral
235,pincode ncovishield dose slots n nage ndate sep nfees nramaiah memorial hospit,0.0,neutral
236,bar staff cuts power supply lift enforcement officials n n odisha odishanews bhubaneswar odishapolice,0.0,neutral
237,assam health minister kesha mahanta sunday stated decision reopen cinema halls state will,0.0,neutral
238,second wave covid spread across nation volunteers came aid familie,0.0,neutral
239,odisha colleges universities reopen first year undergraduate students online classes continue parall,0.25,positive
240,andhra pradesh reports new covid cases recoveries deaths last hours n ntotal cases,0.06818181818181818,positive
241,delhi reports deaths new covid cases recoveries last hours n ntotal cases ntota,0.06818181818181818,positive
242,kerala reports fresh covid infections recoveries deaths today n nactive cases nto,0.3,positive
243,covid vaccination register hcg hospital open amp remains unattended easy opportunity pryi,0.21666666666666667,positive
244,kerala reports fresh covid infections recoveries deaths today n nactive cases nto,0.3,positive
245,sakshie ellenceawards young achiever year social service awarded founde,0.06666666666666667,positive
246,f bregional assamese evening news n f hours f f f covid n n covid e d d f c d c d,0.0,neutral
247,india covid relief fund sells donations sent ethereum founder vitalikbuterin n n shibainu shi,0.0,neutral
248,bhubaneswar covid cases detected recover n,0.0,neutral
249,covid spike proteins given la rats named vaccinated given humanised mice ther,0.0,neutral
250,assam decision reopen cinema halls will taken ne month kesha mahanta n cinemahalls covid,0.0,neutral
251,another covid patients recover odisha n,0.0,neutral
252,covid deadly injections put risky spike proteins large quantity reproductive organs males females,0.007142857142857131,positive
253,opinion behind scenes s e t nnot defend d,-0.4,negative
254,covid deaths n n covid,0.0,neutral
255,despite many challenges fewer numbers pakistani faithful made annual pilgrimage national marian s,0.5,positive
256,facebook tiktok posts viewed thousands times claim christinegrady wife top us covid advisor,0.5,positive
257,situated heart andhra pradesh visakhapatnam known picturesque beaches amp serene landscape wh,0.0,neutral
258,update newly detected covid cases last n hrs bmc area n th september till,0.06818181818181818,positive
259,day tweeting replies n n mivscsk ipl o arrestpratikgandhi klrahul real withgambhir,0.2,positive
260,tamilnadu covid day wise death cases details n ntotal deaths n n sep n sep n sep n sep,0.7,positive
261,tamilnadu covid day wise discharged cases details n n total discharged n n sep n sep,0.35,positive
262,kerala covid cases tpr,0.0,neutral
263,tamilnadu covid sep n n tn n n total cases n n today s discharged n n today s,0.0,neutral
264,patients test positive covid tamil nadu today september update n n corona,0.22727272727272727,positive
265,sep jammuandkashmir covid update n nactive cases f n ntpr c n nrr f f cfr f f,0.0,neutral
266,day left submit shorts films comedy drama animation horror documentary webseries musicvideo,0.0,neutral
267,f emaharashtra covid data n got infected n lost lives n current case fatality ra,0.0,neutral
268,astrology basic knowledge f c f f f f n astrostuffs astrology sundayvibes covid followme love signs,0.25,positive
269,college nahi khul rahe f eyahi bohot bada sar dard hai f aur menstrual migraine f n research suggests menstrual,0.0,neutral
270,pincode ncovishield dose slots n nage ages ndate sep nfees nvalens ho,0.0,neutral
271,pincode ncovishield dose slots n nage ages ndate sep nfees nvalens ho,0.0,neutral
272,covid nplease watch graph worlds best health infrastructure world us n nwhere people,1.0,positive
273,sundayeye solitary confinement hotel us made homesick indian warmth hospi,0.0,neutral
274,uae central bank sees covid increasing money laundering risks n n moneylaundering n,0.0,neutral
275,uttarpradesh government rela d lockdown norms sunday allowing ma mum people gather,0.0,neutral
276,tafrishaala prime time n palestine jolideematongo,0.0,neutral
277,education n online e earlier n teacher n covid,0.0,neutral
278,chief minister yogiadityanath said riots strict action taken,0.1,positive
279,sep kerala covid update n nactive cases f d n nconfirmed f nrecovered f c,0.0,neutral
280,kerala reports fresh covid infections recoveries deaths today death toll rises,0.3,positive
281,pincode ncovishield dose slots n nage ages ndate sep nfees nfortis l,0.0,neutral
282,pincode ncovishield dose slots n nage ages ndate sep nfees nfortis l,0.0,neutral
283,kerala reports fresh covid infections recoveries deaths today n nactive cases nt,0.3,positive
284,pincode ncovishield dose slots n nage ages ndate sep nfees nhamilton,0.0,neutral
285,uttar pradesh govt rela s covid curbs allowing people gather non containment zones n uttarpradesh,0.0,neutral
286,m vaccinated f ntaking small steps fight covid c c n n vaccination vaccinateddone covid,-0.25,negative
287,pincode ncovishield dose slots n nage ages ndate sep nfees nbrookefie,0.0,neutral
288,pincode ncovishield dose slots n nage ages ndate sep nfees nbrookefie,0.0,neutral
289,biden administration negotiating pfizer buy additional million covid vaccines donate g,0.0,neutral
290,karnataka witnesses first post covid double lung transplant yr old doctor covid warrior aster cmi,0.11666666666666665,positive
291,kerala today n n cases n samples tested n n kerala covid,0.0,neutral
292,covid global govt nwo collapsing world danish government lifted remaining coronavir,0.0,neutral
293,modi govt mis management led lakhs covid deaths n n bjp govt responsible,0.2,positive
294,fight corona vr available n ue unrealengine indiedev gamer indiegamedev indiegames,0.4,positive
295,nagpuralert persons tested ve city nagpur today y day fartode total cases de,0.0,neutral
296,andhra pradesh reports new covid cases recoveries deaths last hours,0.06818181818181818,positive
297,delhi reports deaths new covid cases recoveries last hours total cases rise,0.04545454545454545,positive
298,indianarmy organised covid medical amp health awareness campaign remote border village naushera govt,-0.05,negative
299,indianarmy organised covid medical amp health awareness campaign remote border village naushera govt,-0.05,negative
300,year possible blessings lalbaugcharaja mumbai m sure bappa will listen m,0.25,positive
301,height weight blood pressure blood sugar covid symptoms amp general health conditions e mined,0.05000000000000002,positive
302,per directions ministry civil aviation goi capacity domestic passenger flights,0.0,neutral
303,delhi reports deaths new covid cases recoveries last hours,0.06818181818181818,positive
304,coronavirusupdate coronaviruspandemic new coronavirus cases reduction active cases recoveries ze,0.001515151515151511,positive
305,coronavirus last hours new cases corona registered india people died,0.06818181818181818,positive
306,rahul gandhi takes dig centre covid vaccination n n covid vaccine n,0.0,neutral
307,fitting tribute countrymen achieving record crore covid vaccination prime minister,0.5,positive
308,health tips follow home remedies uses sneezing n trending health workout fitness fit covid,0.4,positive
309,september india fully vaccinated population covid terms total doses,0.0,neutral
310,according estimates covid pandemic impacted msme earnings per cent main problem fa,0.16666666666666666,positive
311,private companies e loiting international travelers outrageous covid testing costs,-0.3333333333333333,negative
312,study followed women registered pregcovid registry found vaccinated pregnant,0.3333333333333333,positive
313,pincode ncova n dose slots n nage ages ndate sep nfees nfortis hos,0.0,neutral
314,pincode ncova n dose slots n nage ages ndate sep nfees nfortis hos,0.0,neutral
315,ecg look deceptively similar waves covid india obviously india taken heart,0.0,neutral
316,families central vietnam diocese celebrate special ceremony sacred heart cathedral mark th,0.17857142857142858,positive
317,lakh covid samples tested last hours,0.0,neutral
318,super proud hear tell incredible story colleague emmanuel vanoli used fluid simulation,0.5083333333333333,positive
319,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
320,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
321,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
322,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
323,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
324,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
325,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
326,pincode ncovishield dose slots n nage ages ndate sep nfees nsakhii ho,0.0,neutral
327,tamil nadu health department aims administer lakh doses part mega vaccination drive sunday,0.0,neutral
328,antibodies covid s original strain don t bind variants study n n covid covid variants,0.375,positive
329,aai s suratairport managed th heart transportation post covid nd wave n heart transportation tot,0.0,neutral
330,worried time annoying covid pre rbt tone call anyone s way disable,-0.8,negative
331,huge crowds seen roads byculla tardeo lalbaug parel area known grand celebrations idols th,0.45000000000000007,positive
332,mumbaiindians take chennaisuperkings crunch clash dubai sunday mark resumption ipl,0.0,neutral
333,middle pandemic lot us helping whatever way possible f c f f c n n amp,0.0,neutral
334,india s covid vaccination crosses landmark crore lakh doses administered last,0.0,neutral
335,africa will able vaccinate population covid december year due shortf,0.1875,positive
336,cbse carry nas lakh sample schools assess learning level students know rea,0.0,neutral
337,violence covid guidelines f,0.0,neutral
338,odisha government says people durgapuja puja super s,0.3333333333333333,positive
339,study made observation physicians classify patients n n covid n,0.0,neutral
340,study made observation physicians classify patients n n covid n,0.0,neutral
341,covid victims hospitals vaccinated ones delta cases vaccination cases doctors hos,0.0,neutral
342,m children estimated fallen min reading proficiency levels due covid n nsustainable,-0.125,negative
343,covid vaccination numbers dropping sharply due awareness vaccinedeaths govts forced,-0.21250000000000002,negative
344,coimbatore district leads tamilnadu vaccinating highest percentage eligible population,0.0,neutral
345,covid doctors nurses healthcare professionals scientists etc forcing vaccinemadness genocidal,0.0,neutral
346,first see going around mean state kerala thousands infecti,-0.03125,negative
347,pincode ncovishield dose slots n nage ages ndate sep nfees npadmashre,0.0,neutral
348,pincode ncovishield dose slots n nage ages ndate sep nfees npadmashre,0.0,neutral
349,pincode ncovishield dose slots n nage ages ndate sep nfees npadmashre,0.0,neutral
350,pincode ncovishield dose slots n nage ages ndate sep nfees npadmashre,0.0,neutral
351,pincode ncovishield dose slots n nage ages ndate sep nfees npadmashre,0.0,neutral
352,pincode ncovishield dose slots n nage ages ndate sep nfees npadmashre,0.0,neutral
353,maharashtra new covid cases thane deaths n palghar coronavirusupdates n activecases,0.13636363636363635,positive
354,india recorded lakh cases deaths due negligence relating road accidents people losi,-0.125,negative
355,fuel prices will gst ambit ajit pawar n n bmcelections bmc bmcelection maharashtracivicpolls,0.0,neutral
356,hyderabad surgery n nvengal das n units ve blood needed nstar hospital banjarahills n n,0.0,neutral
357,pincode ncova n dose slots n nage ages ndate sep nfees ntenet diagn,0.0,neutral
358,pincode ncova n dose slots n nage ages ndate sep nfees ntenet diagn,0.0,neutral
359,pincode nsputnik v dose slots n nage ages ndate sep nfees ntenet dia,0.0,neutral
360,pincode nsputnik v dose slots n nage ages ndate sep nfees ntenet dia,0.0,neutral
361,world triathlon sprint relay championships bermuda cancelled due covid n nread,-0.125,negative
362,yet pretend response covid based science,0.0,neutral
363,centre warns states emerging challenge dangerous dengue strain indiablooms first portal,-0.175,negative
364,mr mann prashad s family going toughest time lives covid took everything,0.0,neutral
365,empty desks backpacks n months education disruption n trillion hours class learning lost due t,-0.1125,negative
366,people see many doses unethically proven vaccines administered day see many case,0.5,positive
367,india s cumulative covid vaccination coverage crosses landmark crore n nmore lakh doses admini,0.0,neutral
368,attempt accelerate covid vaccination process ahmedabad municipal corporation decided deny c,0.0,neutral
369,pincode ncovishield dose slots n nage ages ndate sep nfees nshirdi sa,0.0,neutral
370,pincode ncovishield dose slots n nage ages ndate sep nfees nshirdi sa,0.0,neutral
371,covid pandemic disrupted lives livelihoods series essays edited suri delves int,0.0,neutral
372,turkey thailand uae countries opened indian tourists without mandatory quarantine pe,0.0,neutral
